Title,Link,Publication Date,Authors,Abstract
System Thinking in Gamification,https://link.springer.com/article/10.1007/s42979-023-02579-2,28 February 2024,"Anders Nordby, Håvard Vibeto, Sophie Mobbs, Harald U. Sverdrup","People spend a lot of time and energy playing videogames (Kapp in The gamification of learning and instruction: game-based methods and strategies for training and education. Pfeiffer an imprint of Wiley, San Francisco, 2012), and as a result, gamification has grown from a buzzword into a discipline. Since 2012, the authors have experimented with system thinking as a methodology for developing gamification and will present examples in this article. The primary objectives are to study how system thinking can be used to understand, design, develop and document gamifications, and how psychology and pedagogics can be integrated in the process to enhance the learning. This is an observational case study that gives examples of how students (i) use system thinking to understand and clarify the gamification case using system analysis and (ii) use system dynamics to simulate cases and predict user responses. Students begin system analysis once the gamification idea is developed and their goals and the case parameters are established, and it includes making casual loop diagrams, flow charts, and reference behavior patterns. Students then find and experiment with numerical data for the case and use system dynamics to simulate the gamification and predict the user results. The pedagogy is problem based and grounded in traditional problem-based learning and situated learning. This article shows how system thinking allows students and professionals to develop a deeper and more tangible understanding of the research materials and presumptions they have when engaging in any given gamification scenario. System thinking also provides tools to test research material and hypotheses in a more structured, manageable, and palpable way. Although we have discovered several ways system thinking can benefit gamification design, the research has also revealed new areas where system thinking could be explored further."
Associations Between Esports Participation and Health: A Scoping Review,https://link.springer.com/article/10.1007/s40279-022-01684-1,29 April 2022,"Ana Monteiro Pereira, Júlio A. Costa, Evert Verhagen, Pedro Figueiredo, João Brito","Esports are a contemporary phenomenon, with millions of people involved. Still, scientific literature on the topic is scarce. Anecdotal reports, mostly based on what is known from videogames practice, have associated esports with unhealthy lifestyles and health-related problems. The present scoping review aimed to provide an overview of findings from studies regarding the health and well-being in adult esports players, while identifying the most studied topics in the field and those still lacking scientific research."
"The effects of gender, age, and videogame experience on performance and experiences with a surgical robotic arm: an exploratory study with general public",https://link.springer.com/article/10.1007/s11701-021-01287-4,27 July 2021,"Selen Türkay, Kate Letheren, Ross Crawford, Jonathan Roberts, Anjali Tumkur Jaiprakash","Robotic surgery is increasing in prevalence, thanks to its potential benefits for patients (e.g., reduced blood loss) and surgeons (e.g., ergonomics). It is important to know what inherent characteristics of potential surgeons may facilitate robotic surgery training and performance. Findings from previous studies indicate videogames can be inexpensive tools that help improve hand–eye coordination, coordination of 3-D movements with 2-D images, and spatial orientation. In the context of robotic-assisted knee arthroscopy using a MAKO robotic arm, this study explored performance and subjective experiences of novices (N = 104) with a fake bone shaving task at a public event. Participants’ performance was measured based on how much of the bone they successfully shaved. Findings showed that duration of videogame play per week was negatively related to performance with the robotic arm. Male and female participants performed similarly on the bone shaving task, and reported similar difficulty with and enjoyment of the task. However, female participants who played videogames performed better than those who did not play videogames. Participants who were younger than 11 had the worst performance and the most difficulty with the robotic arm. Overall, the findings indicate that the effect of videogame experience on the performance with the robotic arm may differ based on gender and age. This has implications on the length of training for surgeons of different gender using videogames and other emerging technologies."
The impact of different uses of the Internet on students’ performance progression throughout primary education,https://link.springer.com/article/10.1007/s10639-023-12354-8,07 December 2023,"María Ladrón de Guevara Rodríguez, Luis Alejandro Lopez-Agudo, Oscar David Marcenaro-Gutierrez","The present research analyses the impact that the time spent on the Internet by primary school (3rd and 6th grade) students may have on their academic progression in terms of test scores. In order to go beyond a correlational analysis, we have applied a time fixed-effects estimation using a recent longitudinal database of 15,974 students from the Spanish region of the Canary Islands. Our results show that, in general, an increasingly frequent use of the Internet has a negative influence on students’ academic achievement progression, with higher use of instant messaging applications being particularly linked to girls’ poorer mathematics academic performance progression. This negative influence may be a consequence of replacing time to academic activities (e.g., reading books or homework) with time using the Internet, which can also ultimately lead students to adopt unhealthy study habits that can affect their future academic success. Furthermore, we find that there is not a negative impact of playing videogames on the mathematics competence, as the development of spatial-visual (digital) skills possibly counterbalances the negative influence of time substitution between academically oriented tasks and the Internet."
"Virtual reality experiences, embodiment, videogames and their dimensions in neurorehabilitation",https://link.springer.com/article/10.1186/s12984-018-0461-0,26 November 2018,Daniel Perez-Marcos,"In the context of stroke rehabilitation, new training approaches mediated by virtual reality and videogames are usually discussed and evaluated together in reviews and meta-analyses. This represents a serious confounding factor that is leading to misleading, inconclusive outcomes in the interest of validating these new solutions."
Advertising Games of Chance in Adolescents and Young Adults in Spain,https://link.springer.com/article/10.1007/s10899-020-09988-5,09 November 2020,"F. J. Labrador, M. Bernaldo-de-Quirós, I. Sánchez-Iglesias, M. Labrador, M. Vallejo-Achón, I. Fernández-Arias, F. J. Estupiñá","Gambling advertising can influence attitudes and gaming behavior of adolescents and young adults (A&Y). To study the effect of advertising on the attitudes and gaming behavior of a sample of 2887 Spanish A&Y (12–22 years old), by means of a self-report assessment. On average, participants show a weak effect of advertising, however there are great variations, estimating that 11% of A&Y acknowledge being influenced by advertising and 5% recognize being severely affected. Men see themselves more impacted than women, without age differences. Those who play videogames signal a stronger effect of this kind of advertising and although these differences are not substantial in effect size, they reach statistically significance in 12 of the 13 questions assessed. A&Y who showed higher scores indicating problematic use of videogames in the IDGS9-SF, are those who indicate a greater impact of advertising on their attitudes towards gaming, as well as on the way they play or on their intention to play. These results support the idea that videogames can, albeit modestly, predispose engagement in games of chance."
Analyzing autostereoscopic environment configurations for the design of videogames,https://link.springer.com/article/10.1007/s00530-019-00621-z,28 May 2019,"José Martínez Sotoca, Miguel Chover, Inmaculada Remolar, Ricardo Loreto","Stereoscopic devices are becoming more popular every day. The 3D visualization that these displays offer is being used by videogame designers to enhance the user’s game experience. Autostereoscopic monitors offer the possibility of obtaining this 3D visualization without the need for extra device. This fact makes them more attractive to videogame developers. However, the configuration of the cameras that make it possible to obtain an immersive 3D visualization inside the game is still an open problem. In this paper, some system configurations that create autostereoscopic visualization in a 3D game engine were evaluated to obtain a good accommodation of the user experience with the game. To achieve this, user tests that take into account the movement of the player were carried out to evaluate different camera configurations, namely, dynamic and static converging optical axis and parallel optical axis. The purpose of these tests is to evaluate the user experience regarding visual discomfort resulting from the movement of the objects, with the purpose of assessing the preference for one configuration or the other. The results show that the users tend to have a preference trend for the parallel optical axis configuration set. This configuration seems to be optimal because the area where the moving objects are focused is deeper than in the other configurations."
"Adolescents’ videogame play, need satisfaction, and self-esteem: a self-determination perspective",https://link.springer.com/article/10.1007/s12144-024-05933-6,09 April 2024,"Edward John Noon, Luca Carbone, Brent Swinnen, Laura Vandenbosch","Initial evidence suggests that need-supportive videogame play can have positive short-term effects on adolescents’ need satisfaction, and may therefore help to promote positive well-being. However, less is currently known about the long-term interrelations between need-supportive videogame play, global need satisfaction, and adolescent well-being. Thus, guided by self-determination theory and broaden-and-build theory, this study explored the longitudinal reciprocal relationship between adolescents’ need-supportive gameplay and self-esteem, via global need satisfaction. The moderating effect of gender was also examined. Three-wave panel data were collected from 405 Belgian adolescents between September 2021 and September 2022 (M age = 15.13, SD = 1.52; Female = 64.20%), and data were analyzed using random intercept cross-lagged panel models. The valence, strength, and consistency of within-person cross-lagged associations differed across the basic psychological needs, and gender had no moderating effect on the hypothesized models. Results therefore suggest that the uniform positive effects of need-supportive gameplay on adolescent well-being tend to be short-lived, and that over time, videogame play tends to satisfy some basic psychological needs more than others. Findings add to the emerging literature regarding videogame play and positive adolescent well-being, and results emphasize the importance of investigating the long-term implications of adolescent videogame play."
Systematic review and meta-analysis of standalone digital interventions for cognitive symptoms in people without dementia,https://link.springer.com/article/10.1038/s41746-024-01280-9,10 October 2024,"Veronica Cabreira, Tim Wilkinson, Lisbeth Frostholm, Jon Stone, Alan Carson","Cognitive symptoms are prevalent across neuropsychiatric disorders, increase distress and impair quality of life. Self-guided digital interventions offer accessibility, scalability, and may overcome the research-to-practice treatment gap. Seventy-six trials with 5214 participants were identified. A random-effects meta-analysis investigated the effects of all digital self-guided interventions, compared to controls, at post-treatment. We found a small-to-moderate positive pooled effect on cognition (k = 71; g = −0.51, 95%CI −0.64 to −0.37; p < 0.00001) and mental health (k = 30; g = −0.41, 95%CI −0.60 to −0.22; p < 0.0001). Positive treatment effects on fatigue (k = 8; g = −0.27, 95%CI −0.53 to −0.02; p = 0.03) and quality of life (k = 22; g = −0.17, 95%CI −0.34 to −0.00; p = 0.04) were only marginally significant. No significant benefit was found for performance on activities of daily living. Results were independent of control groups, treatment duration, risk of bias and delivery format. Self-guided digital transdiagnostic interventions may benefit at least a subset of patients in the short run, yet their impact on non-cognitive outcomes remains uncertain."
Understanding Esports-related Betting and Gambling: A Systematic Review of the Literature,https://link.springer.com/article/10.1007/s10899-023-10256-5,22 September 2023,"Harshdeep S. Mangat, Mark D Griffiths, Shu M. Yu, Katalin Felvinczi, Ronald K. Ngetich, Zsolt Demetrovics, Andrea Czakó","Esports gambling has steadily grown in popularity alongside esports itself. While research has been increasing in the field of esports-related gambling, no study has yet reviewed the relevant literature on esports gambling. The present study aimed to comprehensively review all empirical research conducted in the wider field of esports gambling. A systematic review following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines was undertaken using PsycINFO, PubMed, Scopus, and Web of Science databases. Only empirical studies were included and were also assessed for potential biases using the ROBUST guidelines. A total of 30 studies from eight countries were included in the review. Esports gamblers were found more likely to be young males, likely to score high on problematic gambling scales, and likely to belong to households speaking a non-English language at home in English speaking countries. Esports gamblers are a unique type of gambling population, with rare characteristics and behaviors compared to other types of gamblers. Given the limited number of studies, there is a need for further research in this field to understand these populations, as well as the need for longitudinal research."
"Video Games, Violence Justification and Child-to-Parent Violence",https://link.springer.com/article/10.1007/s10826-024-02864-5,05 September 2024,"Miriam Junco-Guerrero, Ana Ruiz-Fernández, David Cantón-Cortés","During the past decade, video games have become the main industrial entertainment sector, although research on the effects of violence in video games on juvenile aggressiveness has raised concerns that they may pose a significant social risk. The objective of this study was to analyze the relationship of exposure to violent video games, pathological video-gaming, and justification of violence with the perpetration of Child-to-Parent Violence (CPV) against the mother and the father, controlling for the sex, educational level, and violent TV exposure of the participant. The sample consisted of 439 students from Compulsory Secondary Education, (238 boys and 201 girls), aged between 13 and 18. Exposure to video games was assessed through an author-elaborated questionnaire, violence justification, and pathological video-gaming were evaluated with the Exposure to Violence Questionnaire and the Assessment of Pathological Computer-Gaming, respectively, and CPV was assessed through the Child-to-Parent Aggression Questionnaire. Hierarchical multiple regression analyses showed that pathological video-gaming and, specially, justification of violence, were related to the perpetration of CPV against both mothers and fathers. However, a relationship of exposure to violent video games and violence on TV with the perpetration of CPV was not found. These results suggest a potential new target for CPV prevention, as well as for the treatment of juvenile offenders."
Virtual patients in undergraduate psychiatry education: a systematic review and synthesis,https://link.springer.com/article/10.1007/s10459-023-10247-6,09 June 2023,"Rikke Amalie Agergaard Jensen, Peter Musaeus, Kamilla Pedersen","Virtual patients are increasingly used in undergraduate psychiatry education. This article reports on a systematic review aimed at providing an overview of different approaches in this context, describing their effectiveness, and thematically comparing learning outcomes across different undergraduate programs. The authors searched PubMed, PsycInfo, CINAHL, and Scopus databases for articles published between 2000 and January 2021. Quantitative and qualitative studies that reported on outcomes related to learners’ knowledge, skills, and attitudes following an intervention with virtual patients in undergraduate psychiatry education were reviewed. Outcomes were thematically compared, and a narrative synthesis of the different outcomes and effectiveness was provided. Of 7856 records identified, 240 articles were retrieved for full-text review and 46 articles met all inclusion criteria. There were four broad types of virtual patient interventions: case-based presentation (n = 17), interactive virtual patient scenarios (n = 14), standardized virtual patients (n = 10), and virtual patient videogames (n = 5). The thematic analysis revealed that virtual patients in psychiatry education have been used for learners to construe knowledge about symptomatology and psychopathology, develop interpersonal and clinical communicative skills, and to increase self-efficacy and decrease stigmatizing attitudes towards psychiatric patients. In comparison with no intervention, traditional teaching, and text-based interventions, virtual patients were associated with higher learning outcomes. However, the results did not indicate any superiority of virtual patients over non-technological simulation. Virtual patients in psychiatry education offer opportunities for students from different health disciplines to build knowledge, practice skills, and improve their attitudes towards individuals with mental illness. The article discusses methodological shortcomings in the reviewed literature. Future interventions should consider the mediating effects of the quality of the learning environment, psychological safety, and level of authenticity of the simulation."
Perceived parental psychological control and the risk of internet gaming disorder in adolescents: a cross-sectional study,https://link.springer.com/article/10.1007/s12144-024-05951-4,18 April 2024,"Nazan Turan, Afra Alkan, Yasemin Çekiç","It is stated that parental psychological control (PC), which appears to hinder psychological development in children and adolescents, is associated with internet gaming disorder (IGD). However, parenting styles and practices vary across cultures. For this reason, to determine the risk of IGD in adolescents who are in the process of psychological development and to prevent it at an early stage, there is a need to better understand the effect of PC on the development of IGD. In this context, this study aims to examine the impact of perceived parental psychological control on the risk of Internet gaming disorder in Turkish adolescents. A cross-sectional design was used. The sample group consisted of 4498 students from eight public high schools in Turkey. Participant Information Form, the Psychological Control Scale, and the Internet Gaming Disorder Scale Short Form were used for collecting data. Univariate logistic regression analysis demonstrated that the risk of IGD increased as maternal disrespect-maternal psychological control and father disrespect scores increased. Paternal psychological control score had no significant effect on IGD risk. In the multivariate model, age, father’s education level, spending money on games, time spent playing daily games on weekdays and weekends, and father’s psychological score were found to be associated with IGD risk. The effects of maternal disrespect and maternal psychological control scores on the IGD risk varied according to the number of siblings and the education level of the mother. As a result, parental PC was determined to affect the risk of IGD in Turkish adolescents significantly."
Rehabilitation of visual functions in adult amblyopic patients with a virtual reality videogame: a case series,https://link.springer.com/article/10.1007/s10055-021-00605-3,17 November 2021,"Carmen Jiménez-Rodríguez, Lourdes Yélamos-Capel, Patricia Salvestrini, Cristian Pérez-Fernández, Fernando Sánchez-Santed, Francisco Nieto-Escámez","Amblyopia or lazy eye is a dysfunction of the visual system that appears during childhood and traditionally has been considered untreatable in adults. Its main consequences are the loss of visual acuity and contrast sensitivity of the amblyopic eye and binocular vision impairments. During the last years videogames have been used as a therapeutic tool for amblyopia with the inconclusive results. The present work has assessed the effectiveness of a virtual reality videogame (AmbliOK®) in the neurorehabilitation of four adult clinical cases with anisometropic amblyopia. Visual acuity, contrast sensitivity, stereopsis and interocular suppression were assessed before, during, immediately after, one month and one year (in one patient) after the training. The intervention was conducted along four weeks (10 h) and yielded the variable results. In general, all patients showed an improvement in visual functions although not all ameliorated in the same way. Visual acuity measures improved in all patients, falling outside the amblyopia criterion at the end of the treatment. However, the improvement was not maintained one month later in two patients. Contrast sensitivity progressively improved for the amblyopic and the fellow eyes with all patients showing better results one month after the treatment. The patient assessed one year after still showed better results than in the baseline. Patients showing bad stereopsis in the baseline reached a performance considered normal one month and even one year after the treatment. The effectiveness of the treatment seems to be related to the characteristics of patients."
"Depressive symptoms associated with COVID-19 preventive practice measures, daily activities in home quarantine and suicidal behaviors: Findings from a large-scale online survey in Bangladesh",https://link.springer.com/article/10.1186/s12888-021-03246-7,26 May 2021,"Md. Saiful Islam, Rafia Tasnim, Md. Safaet Hossain Sujan, Most. Zannatul Ferdous, Md. Tajuddin Sikder, Jakir Hossain Bhuiyan Masud, Sourav Kundu, Promi Tahsin, Abu Syed Md. Mosaddek, Mark D. Griffiths","The world is facing a public health emergency situation caused by the COVID-19 pandemic. Psychological wellbeing among individuals worldwide has been negatively affected by the pandemic especially in low- and middle-income countries such as Bangladesh. The present study aimed to assess the estimate of depressive symptoms and investigated its associations with COVID-19 preventive practice measures, daily activities in home quarantine, and suicidal behaviors in a large-scale Bangladeshi online survey."
Serious games in high-stakes assessment contexts: a systematic literature review into the game design principles for valid game-based performance assessment,https://link.springer.com/article/10.1007/s11423-024-10362-0,08 April 2024,"Aranka Bijl, Bernard P. Veldkamp, Saskia Wools, Sebastiaan de Klerk","The systematic literature review (1) investigates whether ‘serious games’ provide a viable solution to the limitations posed by traditional high-stakes performance assessments and (2) aims to synthesize game design principles for the game-based performance assessment of professional competencies. In total, 56 publications were included in the final review, targeting knowledge, motor skills and cognitive skills and further narrowed down to teaching, training or assessing professional competencies. Our review demonstrates that serious games are able to provide an environment and task authentic to the target competency. Collected in-game behaviors indicate that serious games are able to elicit behavior that is related to a candidates’ ability level. Progress feedback and freedom of gameplay in serious games can be implemented to provide an engaging and enjoyable environment for candidates. Few studies examined adaptivity and some examined serious games without an authentic environment or task. Overall, the review gives an overview of game design principles for game-based performance assessment. It highlights two research gaps regarding authenticity and adaptivity and concludes with three implications for practice."
"Stress and suicide risk among adolescents: the role of problematic internet use, gaming disorder and emotional regulation",https://link.springer.com/article/10.1186/s12889-024-17860-z,30 January 2024,"Andrés Chamarro, Adrian Díaz-Moreno, Ivan Bonilla, Ramon Cladellas, Mark D. Griffiths, Maria José Gómez-Romero, Joaquín T. Limonero","Previous studies have associated videogame playing and social media use with suicidal behaviors together with lower stress coping or poor emotion regulation strategies. Due to the inconclusive evidence regarding the factors associated with suicidal behavior, the present study aimed to overcome the limitations of previous research and explored the relationship between adolescent stress, problematic internet use (PIU), gaming disorder (GD), and emotional regulation (ER) in a cross-section design. It was hypothesized that stress would have a direct effect on suicide risk (SR) as well as being mediated by PIU, GD, and ER."
"Risky behaviors, substance use, and other lifestyle correlates of energy drink consumption in children and adolescents: a systematic review",https://link.springer.com/article/10.1007/s00431-021-04322-6,06 January 2022,"Michela Marinoni, Maria Parpinel, Alessio Gasparini, Monica Ferraroni, Valeria Edefonti","Increasing concerns have been raised on the health-related risks connected with energy drink (ED) consumption in children and adolescents, with high acute or chronic consumers exceeding 10% in either age group in Europe in 2011. Preliminary evidence has suggested a common pattern of ED and substance use, especially alcohol. Additional evidence has been accumulating very fast; in addition, other lifestyle and risky behaviors may contribute to shed light on the complex interplay of factors involved in ED consumption. We have undertaken a comprehensive systematic review of the evidence on psychosocial correlates of ED consumption in 0–18 years subjects, as published up to April 1, 2021, in MEDLINE/PubMed, PsycINFO, and Cochrane Reviews and Central Register of Controlled Trials, which allowed to select 104 original articles. Only ~ 10% of the papers provided results based on longitudinal analyses. A common pattern of ED consumption and polysubstance use, including alcohol, tobacco, and soft and hard drugs, was still confirmed in adolescents; violent and risky behaviors were also related to a higher ED consumption. In addition, frequent ED consumers are more likely to have bad dietary habits, including consumption of sugar-sweetened beverages and junk foods. A generally inconclusive evidence was found for sport/physical activities, although sedentary behaviors were generally related to ED consumption."
Navigating Failure in a Museum-Based Videogame: Convergent and Divergent Mechanisms of Collaboration as Potential Levers for Informal Learning About Climate Change,https://link.springer.com/article/10.1007/s10956-024-10129-5,18 June 2024,"Lynne Zummo, Rebecca T. Menlove, Eliana Massey","The need for well-designed learning experiences about modern, anthropogenic climate change is great. In light of this need, many scholars have looked towards museums, arguing that as trusted institutions of informal learning, museums are uniquely positioned to support public engagement with contentious, impactful issues like climate change. However, while several museum exhibits have emerged over recent years, empirical research on museum-based learning experiences remains quite limited. We take a step towards advancing understanding of museum-based climate change learning through an empirical investigation at a natural history museum in the US. This study examines learners’ collaborative discourse within one exhibit about climate change, a multiplayer video game called Utah Climate Challenge (UCC). Investigating moments of failure and struggle, we analyze learners’ forms of collaboration through moment-to-moment discourse analysis. Findings demonstrate the importance of scaffolding multiple types of collaboration, as well as the potential for a collaborative, museum-based videogame to support learning of important science concepts relevant to climate change."
Videogame Addiction Scale for Children: Psychometric Properties and Gamer Profiles in the Italian Context,https://link.springer.com/article/10.1007/s11469-020-00406-w,24 November 2020,"Lucia Monacis, Mark D. Griffiths, Rosalinda Cassibba, Maria Sinatra, Pasquale Musso","Given the few studies examining the evaluation of screening tools for videogame addiction among children aged 12 years and under, the present study analyzed (i) the psychometric properties (factorial structure, reliability indices and criterion validity) of the Italian version of the Videogame Addiction Scale for Children (VASC) and (ii) its construct validity using a person-centered approach. Two studies were carried out. In study 1, 728 participants completed a survey including demographic information, questions concerning the amount of time spent in playing videogames, and the Italian version of the VASC. In study 2, 1008 participants completed a survey comprising demographic information, the Italian version of the VASC, the Big Five Questionnaire for Children, and the social dimension subscale of the Multidimensional Self-Concept Scale. Findings supported (i) the four-dimensional first-order factor structure, (ii) full scalar invariance across age groups and partial scalar equivalence across gender, and (iii) reliability and criterion validity of the VASC. The construct validity of the VASC was confirmed by the identification of two distinct profiles (high videogame players vs. low videogame players) and their specific patterns of associations with personality traits and social self-concept. Interaction effects of gender × profiles on personality traits were evidenced. Overall, the findings provided validity for the use of the Italian version of the VASC and extending the body of literature on videogame addiction."
Location attributes explaining the entry of firms in creative industries: evidence from France,https://link.springer.com/article/10.1007/s00168-022-01196-w,05 April 2023,"Josep-Maria Arauzo-Carod, Eva Coll-Martínez, Camelia Turcu",This paper focuses on creative industries and the role played by the existing spatial distribution and agglomeration economies of these activities in relation to their entry decisions. We rely on employment and firm-level data in the creative industries (provided by INSEE) and compare the location of new establishments in the creative and non-creative industries between 2009 and 2013 in French departments (NUTS 3 regions). We use count data models and spatial econometrics to show that location determinants are rather similar in creative and non-creative industries and that specialisation in creative industries positively influences the entry of all other industries. The French case provides new insights to understand the geographical patterns of creative industries.
"Can risky behaviors, gaming addiction, and family sense of coherence accurately classify gender among university students?",https://link.springer.com/article/10.1007/s12144-020-01284-0,03 January 2021,"Mustafa Savci, Mustafa Ercengiz, Banu Yildiz, Mark >D. Griffiths, Ferda Aysan","The present study examined whether risky behaviors, gaming addiction, and family sense of coherence classify female and male university students correctly. For this purpose, Logistic Regression Analysis (LRA) was used. The main purpose of LRA is to estimate which group the individual is a member of. LRA is widely used to predict categorical data (i.e., male and female, addicted and non-addicted, single and married). The present study comprised 281 university students (148 females and 133 males) who had been playing digital videogames for at least six months. The measures used included the Risk Behaviors Scale, Digital Game Addiction Scale, and Family Sense of Coherence Scale-Short Form. Analysis demonstrated that risky behavior, gaming addiction, and family sense of coherence predicted gender with 76.5% accuracy. In other words, risky behaviors, gaming addiction, and family sense of coherence scores can predict a high probability that an individual is male or female. More specifically, risky behaviors (school dropout, antisocial behaviors, alcohol use, smoking, and eating habits) and gaming addiction contributed significantly to the classification of an individual being male or female. The biggest contribution in the classification of gender was digital gaming addiction. Family sense of coherence and risky behaviors such as substance use and suicide tendency did not contribute significantly to gender classification. The present study provided important resulted in terms of demonstrating risk factors related to gender."
Personality differences between videogame vs. non-videogame consumers using the HEXACO model,https://link.springer.com/article/10.1007/s12144-020-00793-2,19 May 2020,"Amir Zaib Abbasi, Ding Hooi Ting, Helmut Hlavacs, Bradley Wilson, Umair Rehman, Ali Arsalan","This study investigates whether there exist personality differences between consumers of videogames and non-consumers of videogames. This is explored through the HEXACO model, which derives HEXACO scores indicative of a particular personality profile. The model assesses the dimensions of honesty-humility, emotionality, extraversion, agreeableness, conscientiousness, and openness to experience. The investigation utilized a causal-comparative approach to examine personality differences. A sample of 855 teenage students attending private and public institutions in the Perak and Selangor states of Malaysia participated in the study. The sample contained 475 non-videogame consumers and 380 videogame consumers. The study revealed that videogame consumers have a personality profile that is significantly different on agreeableness, extraversion, conscientiousness, and openness to experience compared to non-videogame consumers. Our study is first to utilize the HEXACO model to evaluate personality differences between videogame consumers and non-videogame consumers."
Impact of AI-assisted music classification in video games for sustaining effectiveness,https://link.springer.com/article/10.1007/s00500-023-08093-0,17 April 2023,Yang Xia,"Artificial intelligence (AI) and machine learning (ML) applications are being used in every aspect of life as information technology develops and advances. Music is one of these applications that has gotten a lot of attention in the previous several years. AI-based creative and clever solutions have altered the music industry. These technologies make it incredibly easy for composers to create high-quality music. Artificial intelligence and music (AIM) is a new field that is being utilized to create and manage sounds for a variety of media, including the Internet, video games, and so on. Sounds in games are incredibly effective and can be made even more appealing with the use of AI techniques. The quality of the game's noises has a direct impact on the player's productivity and enjoyment. Game designers can use computer-assisted technologies to create sounds for various scenarios or situations in a game, such as horror, suspense, and conveying information to the player. A game's useful and effective audio can assist visually challenged players during various game events. A high level of musicology knowledge is required for better music creation and composition. AIM has made a variety of sophisticated and interactive tools available for efficient and effective music learning. The goal of this work is to provide a comprehensive assessment of the literature on AI-assisted music classification in video games. The study exhibited literature analysis from a variety of viewpoints, which will be used by researchers to develop new solutions in the sector."
Longitudinal Dynamic Relationships Between Videogame Use and Symptoms of Gaming Disorder and Depression Among Chinese Children and Adolescents,https://link.springer.com/article/10.1007/s10964-024-02068-6,12 August 2024,"Mengmeng Zhang, Qian Nie, Wenting Ye, Yifan Wang, Zhiwei Yang, Zhaojun Teng","Although previous studies have shown a close relationship between gaming disorder and depressive symptoms, few have measured normal videogame use, symptoms of gaming disorder, and depressive symptoms concurrently. The longitudinal dynamics between these variables remain unclear. This study used two demographic cohorts to examine the longitudinal relationship between gaming and depressive symptoms: children (n = 1513, 46.9% girls, Mage ± SD = 9.63 ± 0.58 years) and adolescents (n = 1757, 48.5% girls, Mage ± SD = 12.55 ± 0.70 years). Random intercept cross-lagged panel models (RI-CLPMs) were employed to distinguish between within- and between-person levels of gaming and depressive symptoms. The RI-CLPM results showed a stable link between symptoms of gaming disorder and depression at the between-person level for both children and adolescents. At the within-person level, among children, depressive symptoms positively predicted subsequent gaming disorder symptoms, but gaming disorder symptoms were not a significant predictor of depressive symptoms at this level. Among adolescents, there was no significant cross-lagged effect between symptoms of gaming disorder and depression at the within-person level. Additionally, there was no significant cross-lagged effect between normal videogame use and depressive symptoms in either cohort. These results highlight the different effects of normal videogame use and gaming disorder symptoms associated with depressive symptoms. The different effects on children and adolescents underscore the importance of considering the different developmental stages in the study of gaming and mental health outcomes."
Online Gaming Addiction and Basic Psychological Needs Among Adolescents: The Mediating Roles of Meaning in Life and Responsibility,https://link.springer.com/article/10.1007/s11469-022-00994-9,10 January 2023,"Alican Kaya, Nuri Türk, Hasan Batmaz, Mark D. Griffiths","Individuals whose basic needs are naturally satisfied are much less dependent on their environment and more autonomous. Basic psychological needs (i.e., the general motivators of human actions) are significant predictors of online gaming addiction. Moreover, it has been posited that meaning and responsibility in life are at the center of life from an existential point of view. Therefore, a hypothetical model was tested to examine the relationships between basic psychological needs (autonomy, competence, relatedness), online gaming addiction, responsibility, and meaning in life. Data were collected from a sample of 546 participants. Mediation analysis was conducted, and the results indicated that basic psychological needs, online gaming addiction, responsibility, and meaning in life had significant negative and positive relationships. The findings indicated that responsibility and meaning in life had a serial mediating effect in the relationship between basic psychological needs and online gaming addiction. The findings also showed that the inverse relationship between online gaming addiction and basic psychological needs was at least partially explained by meaning in life and responsibility. The results of the present study are of great importance and suggest that interventions to satisfy the basic psychological needs of adolescents may help prevent online gaming addiction."
"Longitudinal Relationships Between School Climate, Academic Achievement, and Gaming Disorder Symptoms Among Chinese Adolescents",https://link.springer.com/article/10.1007/s10964-024-01952-5,24 February 2024,"Qian Nie, Zhaojun Teng, Chunyan Yang, Mark D. Griffiths, Cheng Guo","Despite growing concerns regarding the development of gaming disorder symptoms among adolescents, the longitudinal relationship between school factors and gaming disorder symptoms remains far from being fully understood. This two-year longitudinal study examined the relationship between school climate perceptions, academic achievement, and gaming disorder symptoms among three distinct demographic cohorts: preadolescents (n = 1513; 46.9% girls, Mage = 10.64 years, SD = 0.56), early adolescents (n = 1771; 48.3% girls, Mage = 13.54 years, SD = 0.70), and late adolescents (n = 2385; 50.1% girls, Mage = 16.41 years, SD = 0.59). A four-wave study was conducted (six months apart) using random intercept cross-lagged panel models (RI-CLPMs) to separate the within-person (state level) from the between-person (trait level) effects. The results obtained from the RI-CLPMs indicated that fluctuations in school climate perceptions negatively predicted subsequent changes in gaming disorder symptoms among preadolescents at the within-person level, but not among early and late adolescents. Fluctuations relating to gaming disorder symptoms also negatively predicted subsequent changes regarding academic achievement in late adolescents, but not in preadolescents and early adolescents. The effect of school-related factors on gaming disorder symptoms varies across different developmental stages. While preadolescents may represent a particularly susceptible subgroup for gaming disorder in terms of being predicted by their school environment, late adolescents appear to be more vulnerable to predictors of gaming disorder symptoms. The current study also discusses the implications of school-wide programs aimed at improving school climate and preventing the development of gaming disorder symptoms during key developmental periods."
