Title,Link,Publication Date,Authors,Abstract,Preprocess Abstract
A Comparative Time-Diary Analysis of UK and US Children’s Screen Time and Device Use,https://link.springer.com/article/10.1007/s12187-021-09884-3,02 December 2021,"Killian Mullan, Sandra L. Hofferth","This paper presents the results of a comparative analysis of the time school-age children 8-17 years in the UK and the US spent using devices such as smartphones and tablets, and their time in screen-based activities such as watching TV and playing videogames in 2014-15. The paper draws on innovative instruments measuring children’s time using technology and engaging with screens in these two countries. We find that in both, children’s time using devices overlaps with time in screen-based activities, non-screen leisure, and non-leisure activities. Children in the UK spend more time using devices than children in the US, but family size and the availability of an internet connection at home largely explain major cross-national differences. Children in the US spend less time using computers than children in the UK, and, on non-school days, more time watching TV and playing videogames. These differences remain significant after controlling for a range of child, parent and family-level characteristics. Divergent cross-national patterns for children’s time using relatively new devices and their time in more established screen-based activities are linked to differences in family composition and to differential access.",paper presents results comparative analysis time schoolage children years united kingdom united states spent using devices smartphones tablets time screenbased activities watching television playing videogames paper draws innovative instruments measuring childrens time using technology engaging screens countries childrens time using devices overlaps time screenbased activities nonscreen leisure nonleisure activities children united kingdom spend time using devices children united states family size availability internet connection home largely explain major crossnational differences children united states spend time using computers children united kingdom nonschool days time watching television playing videogames differences remain significant controlling range child parent familylevel characteristics divergent crossnational patterns childrens time using relatively new devices time established screenbased activities linked differences family composition differential access
The one to watch: Heuristic Determinants of Viewership among Influential Twitch Streamers,https://link.springer.com/article/10.1007/s10660-022-09589-x,08 August 2022,E. Mitchell Church,"Twitch users watched over 1.2 billion hours of streaming video in a single month in 2020, with the vast majority of these hours devoted to videogames. The most popular streamers who create this content are often powerful influencers in a rapidly growing industry, and many industries now see videogame influencer marketing as a key aspect of their marketing mix. However, while some streamers have amassed incredible popularity on Twitch, the factors that drive live-streaming viewership remain poorly understood. This study empirically examines a large population of Twitch streamers to explore this existing gap in the current research and explain how potential viewers make the decision to patronize a Twitch streamer. Using panel data on the actions and characteristics of Twitch streamers combined with other sources, the study identifies the heuristic cues most associated with successful Twitch streamers. Ultimately, the study identifies and evaluates multiple heuristics around Twitch content delivery practices, with significant implications for any live-streaming context.",twitch users watched billion hours streaming video single month vast majority hours devoted videogames popular streamers create content powerful influencers rapidly growing industry industries videogame influencer marketing key aspect marketing mix streamers amassed incredible popularity twitch factors drive livestreaming viewership remain poorly understood study empirically examines large population twitch streamers explore existing gap current research explain potential viewers make decision patronize twitch streamer using panel data actions characteristics twitch streamers combined sources study identifies heuristic cues associated successful twitch streamers ultimately study identifies evaluates multiple heuristics twitch content delivery practices significant implications livestreaming context
How do previously inactive individuals restructure their time to ‘fit in’ morning or evening exercise: a randomized controlled trial,https://link.springer.com/article/10.1007/s10865-022-00370-x,03 November 2022,"Paige G. Brooker, Sjaan R. Gomersall, Neil A. King, Nicholas F. McMahon, Michael D. Leveritt","The objective of this study was to investigate changes in sedentary and active behaviors when previously inactive adults start exercising in the morning or evening. One-hundred adults with overweight or obesity (BMI ≥ 25 kg/m2) were recruited for a 12-week intervention and randomized to one of three groups: (i) morning exercise (AMEx; 0600–0900); (ii) evening exercise (PMEx; 1600–1900); or (iii) waitlist control. AMEx and PMEx were prescribed self-paced aerobic exercise to achieve a weekly total of 250 min via a combination of supervised and unsupervised training. Sedentary and active behavior times were measured at baseline, mid- and post-intervention using the multimedia activity recall for children and adults. Time spent engaging in physical activity was significantly increased from baseline at both mid- (+ 14–22 min·day−1) and post-intervention (+ 12–19 min·day−1), for AMEx and PMEx. At 12-weeks, participants in both morning and evening exercise groups reported increased time spent Sleeping (+ 36 and + 20 min·day−1, respecitively), and reduced time spent watching TV/playing videogames (− 32 and − 25 min·day−1, respectively). In response to an exercise stimulus, previously inactive adults make encouraging modifications in how they use their time, and the patterns of change are similar with morning and evening exercise.",objective study investigate changes sedentary active behaviors previously inactive adults start exercising morning odds ratio evening onehundred adults overweight odds ratio obesity body mass index kgm recruited week intervention randomized groups morning exercise amex ii evening exercise pmex odds ratio iii waitlist control amex pmex prescribed selfpaced aerobic exercise achieve weekly total min combination supervised unsupervised training sedentary active behavior times measured baseline mid postintervention using multimedia activity recall children adults time spent engaging physical activity significantly increased baseline mid minday postintervention minday amex pmex weeks participants morning evening exercise groups reported increased time spent sleeping minday respecitively reduced time spent watching televisionplaying videogames minday respectively response exercise stimulus previously inactive adults make encouraging modifications use time patterns change similar morning evening exercise
Cheer for me: effect of non-player character audience feedback on older adult users of virtual reality exergames,https://link.springer.com/article/10.1007/s10055-023-00780-5,13 March 2023,"Kangyou Yu, Shaoyue Wen, Wenge Xu, Maurizio Caon, Nilufar Baghaei, Hai-Ning Liang","The presence of an audience and its feedback could affect people’s performance and experience during an event, especially related to sports such as tennis or boxing. Similarly, in videogames, players’ gameplay could be affected if there is an audience and its feedback in response to players’ performance in the environment. The inclusion of an audience with non-player characters (NPC) is common in videogames in general. However, there is a limited exploration of the use of an NPC audience in virtual reality (VR) exergames, especially focusing on elderly players. To fill this gap, this work examines the effect of an NPC audience and its associated feedback (with/without) on elderly users of VR exergames. In a user study, we used 120 NPC in a virtual audience. Results showed that the presence of the NPC audience with responsive feedback led to higher performance (with a higher success rate of performing gesture actions, more successful combinations of actions (or combos for short) performed, and more opponent’s combos prevented) and better gameplay experience (with higher levels of competence, autonomy, relatedness, immersion, and intuitive controls) of elderly players. Our results can help frame the design and engineering of VR exergames that are targeted at elderly users to help them have an enhanced gameplay experience and improve their health.",presence audience feedback affect peoples performance experience event especially related sports tennis odds ratio boxing similarly videogames players gameplay affected audience feedback response players performance environment inclusion audience nonplayer characters nonplayable character common videogames general limited exploration use nonplayable character audience virtual reality virtual reality exergames especially focusing elderly players gap work examines effect nonplayable character audience associated feedback withwithout elderly users virtual reality exergames user study used nonplayable character virtual audience results showed presence nonplayable character audience responsive feedback led higher performance higher success rate performing gesture actions successful combinations actions odds ratio combos short performed opponents combos prevented better gameplay experience higher levels competence autonomy relatedness immersion intuitive controls elderly players results help frame design engineering virtual reality exergames targeted elderly users help enhanced gameplay experience improve health
Resisting the Gamer’s Dilemma,https://link.springer.com/article/10.1007/s10676-022-09655-w,28 July 2022,"Thomas Montefiore, Paul Formosa","Intuitively, many people seem to hold that engaging in acts of virtual murder in videogames is morally permissible, whereas engaging in acts of virtual child molestation is morally impermissible. The Gamer’s Dilemma (Luck in Ethics Inf Technol 11:31–36, 2009) challenges these intuitions by arguing that it is unclear whether there is a morally relevant difference between these two types of virtual actions. There are two main responses in the literature to this dilemma. First, attempts to resolve the dilemma by defending an account of the relevant moral differences between virtual murder and virtual child molestation. Second, attempts to dissolve the dilemma by undermining the intuitions that ground it. In this paper, we argue that a narrow version of the Gamer’s Dilemma seems to survive attempts to resolve or dissolve it away entirely, since neither approach seems to be able to solve the dilemma for all cases. We thus provide a contextually sensitive version of the dilemma that more accurately tracks onto the intuitions of gamers. However, we also argue that the intuitions that ground the narrow version of the Dilemma may not have a moral foundation, and we put forward alternative non-moral normative foundations that seem to better account for the remaining intuitive difference between the two types of virtual actions. We also respond to proposed solutions to the Gamer’s Dilemma in novel ways and set out areas for future empirical work in this area.",intuitively people hold engaging acts virtual murder videogames morally permissible engaging acts virtual child molestation morally impermissible gamers dilemma luck ethics inf technol challenges intuitions arguing unclear morally relevant difference types virtual actions main responses literature dilemma attempts resolve dilemma defending account relevant moral differences virtual murder virtual child molestation second attempts dissolve dilemma undermining intuitions ground paper argue narrow version gamers dilemma survive attempts resolve odds ratio dissolve away entirely approach able solve dilemma cases provide contextually sensitive version dilemma accurately tracks intuitions gamers argue intuitions ground narrow version dilemma moral foundation forward alternative nonmoral normative foundations better account remaining intuitive difference types virtual actions respond proposed solutions gamers dilemma novel ways set areas future empirical work area
Why do adults seek treatment for gaming (disorder)? A qualitative study,https://link.springer.com/article/10.1057/s41599-023-01775-y,06 June 2023,"Veli-Matti Karhulahti, Sanni Behm, Lauri Lukka","Despite gaming disorder now being diagnosable by the International Classification of Diseases (ICD-11) as a new mental disorder due to addictive behaviors, little is known about the concrete reasons for which people seek treatment for their videogame play. As the current literature is mainly based on children and adolescents, there is a strong need for better understanding adult treatment-seekers in particular. This preregistered study responds to the gap in research by qualitatively investigating the reasons for treatment-seeking with 110 participants who had sought help for their videogame play from a Finnish treatment program. We applied template analysis to the open-ended data, which consist of the participants’ personal accounts regarding their problems. Additionally, we report the game titles that the participants had problems with, as well as Internet Gaming Disorder Test (IGDT-10) scores, which were measured from 89 participants. The template analysis suggested five themes, which cover the main reasons for treatment-seeking: social reasons, existential reasons, practical reasons, self-perceived addiction, and wish for support. Many of these themes overlap with the ICD-11 description of gaming disorder, but several issues, such as loss of meaning and financial harms, are not part of the current diagnosis. The average IGDT-10 score among participants was 3.86 (SD = 2.55) and 37 (42%) individuals met the disorder cutoff (5.00). Numerous videogames with different designs were mentioned as sources of problems, of which 26 were mentioned more than once. The study indicates that adults seek treatment for many kinds of games and gaming-related problems, including but not limited to those, which are described part of the ICD-11 gaming disorder diagnoses. We recommend both researchers and practitioners to implement an expanded perspective on gaming behaviors, acknowledging that adults may seek treatment for diverse gaming-related problems, some of which not necessarily relevant to gaming disorder or mental disorders in general.",despite gaming disorder diagnosable international classification diseases international classification diseases new mental disorder addictive behaviors little known concrete reasons people seek treatment videogame play current literature mainly based children adolescents strong need better understanding adult treatmentseekers particular preregistered study responds gap research qualitatively investigating reasons treatmentseeking participants sought help videogame play finnish treatment program applied template analysis openended data consist participants personal accounts regarding problems additionally report game titles participants problems internet gaming disorder test internet gaming disorder test scores measured participants template analysis suggested themes cover main reasons treatmentseeking social reasons existential reasons practical reasons selfperceived addiction wish support themes overlap international classification diseases description gaming disorder issues loss meaning financial harms current diagnosis average internet gaming disorder test score participants standard deviation individuals met disorder cutoff numerous videogames different designs mentioned sources problems mentioned study indicates adults seek treatment kinds games gamingrelated problems including limited described international classification diseases gaming disorder diagnoses recommend researchers practitioners implement expanded perspective gaming behaviors acknowledging adults seek treatment diverse gamingrelated problems necessarily relevant gaming disorder odds ratio mental disorders general
System Thinking in Gamification,https://link.springer.com/article/10.1007/s42979-023-02579-2,28 February 2024,"Anders Nordby, Håvard Vibeto, Sophie Mobbs, Harald U. Sverdrup","People spend a lot of time and energy playing videogames (Kapp in The gamification of learning and instruction: game-based methods and strategies for training and education. Pfeiffer an imprint of Wiley, San Francisco, 2012), and as a result, gamification has grown from a buzzword into a discipline. Since 2012, the authors have experimented with system thinking as a methodology for developing gamification and will present examples in this article. The primary objectives are to study how system thinking can be used to understand, design, develop and document gamifications, and how psychology and pedagogics can be integrated in the process to enhance the learning. This is an observational case study that gives examples of how students (i) use system thinking to understand and clarify the gamification case using system analysis and (ii) use system dynamics to simulate cases and predict user responses. Students begin system analysis once the gamification idea is developed and their goals and the case parameters are established, and it includes making casual loop diagrams, flow charts, and reference behavior patterns. Students then find and experiment with numerical data for the case and use system dynamics to simulate the gamification and predict the user results. The pedagogy is problem based and grounded in traditional problem-based learning and situated learning. This article shows how system thinking allows students and professionals to develop a deeper and more tangible understanding of the research materials and presumptions they have when engaging in any given gamification scenario. System thinking also provides tools to test research material and hypotheses in a more structured, manageable, and palpable way. Although we have discovered several ways system thinking can benefit gamification design, the research has also revealed new areas where system thinking could be explored further.",people spend lot time energy playing videogames kapp gamification learning instruction gamebased methods strategies training education pfeiffer imprint wiley san francisco result gamification grown buzzword discipline authors experimented thinking methodology developing gamification present examples article primary objectives study thinking used understand design develop document gamifications psychology pedagogics integrated process enhance learning observational case study gives examples students use thinking understand clarify gamification case using analysis ii use dynamics simulate cases predict user responses students begin analysis gamification idea developed goals case parameters established includes making casual loop diagrams flow charts reference behavior patterns students experiment numerical data case use dynamics simulate gamification predict user results pedagogy problem based grounded traditional problembased learning situated learning article shows thinking allows students professionals develop deeper tangible understanding research materials presumptions engaging given gamification scenario thinking provides tools test research material hypotheses structured manageable palpable way discovered ways thinking benefit gamification design research revealed new areas thinking explored
Associations Between Esports Participation and Health: A Scoping Review,https://link.springer.com/article/10.1007/s40279-022-01684-1,29 April 2022,"Ana Monteiro Pereira, Júlio A. Costa, Evert Verhagen, Pedro Figueiredo, João Brito","Esports are a contemporary phenomenon, with millions of people involved. Still, scientific literature on the topic is scarce. Anecdotal reports, mostly based on what is known from videogames practice, have associated esports with unhealthy lifestyles and health-related problems. The present scoping review aimed to provide an overview of findings from studies regarding the health and well-being in adult esports players, while identifying the most studied topics in the field and those still lacking scientific research.",esports contemporary phenomenon millions people involved scientific literature topic scarce anecdotal reports based known videogames practice associated esports unhealthy lifestyles healthrelated problems present scoping review aimed provide overview findings studies regarding health wellbeing adult esports players identifying studied topics field lacking scientific research
"The effects of gender, age, and videogame experience on performance and experiences with a surgical robotic arm: an exploratory study with general public",https://link.springer.com/article/10.1007/s11701-021-01287-4,27 July 2021,"Selen Türkay, Kate Letheren, Ross Crawford, Jonathan Roberts, Anjali Tumkur Jaiprakash","Robotic surgery is increasing in prevalence, thanks to its potential benefits for patients (e.g., reduced blood loss) and surgeons (e.g., ergonomics). It is important to know what inherent characteristics of potential surgeons may facilitate robotic surgery training and performance. Findings from previous studies indicate videogames can be inexpensive tools that help improve hand–eye coordination, coordination of 3-D movements with 2-D images, and spatial orientation. In the context of robotic-assisted knee arthroscopy using a MAKO robotic arm, this study explored performance and subjective experiences of novices (N = 104) with a fake bone shaving task at a public event. Participants’ performance was measured based on how much of the bone they successfully shaved. Findings showed that duration of videogame play per week was negatively related to performance with the robotic arm. Male and female participants performed similarly on the bone shaving task, and reported similar difficulty with and enjoyment of the task. However, female participants who played videogames performed better than those who did not play videogames. Participants who were younger than 11 had the worst performance and the most difficulty with the robotic arm. Overall, the findings indicate that the effect of videogame experience on the performance with the robotic arm may differ based on gender and age. This has implications on the length of training for surgeons of different gender using videogames and other emerging technologies.",robotic surgery increasing prevalence thanks potential benefits patients reduced blood loss surgeons ergonomics important know inherent characteristics potential surgeons facilitate robotic surgery training performance findings previous studies indicate videogames inexpensive tools help improve handeye coordination coordination d movements d images spatial orientation context roboticassisted knee arthroscopy using makoplasty robotic arm study explored performance subjective experiences novices n fake bone shaving task public event participants performance measured based bone successfully shaved findings showed duration videogame play week negatively related performance robotic arm male female participants performed similarly bone shaving task reported similar difficulty enjoyment task female participants played videogames performed better did play videogames participants younger worst performance difficulty robotic arm overall findings indicate effect videogame experience performance robotic arm differ based gender age implications length training surgeons different gender using videogames emerging technologies
The impact of different uses of the Internet on students’ performance progression throughout primary education,https://link.springer.com/article/10.1007/s10639-023-12354-8,07 December 2023,"María Ladrón de Guevara Rodríguez, Luis Alejandro Lopez-Agudo, Oscar David Marcenaro-Gutierrez","The present research analyses the impact that the time spent on the Internet by primary school (3rd and 6th grade) students may have on their academic progression in terms of test scores. In order to go beyond a correlational analysis, we have applied a time fixed-effects estimation using a recent longitudinal database of 15,974 students from the Spanish region of the Canary Islands. Our results show that, in general, an increasingly frequent use of the Internet has a negative influence on students’ academic achievement progression, with higher use of instant messaging applications being particularly linked to girls’ poorer mathematics academic performance progression. This negative influence may be a consequence of replacing time to academic activities (e.g., reading books or homework) with time using the Internet, which can also ultimately lead students to adopt unhealthy study habits that can affect their future academic success. Furthermore, we find that there is not a negative impact of playing videogames on the mathematics competence, as the development of spatial-visual (digital) skills possibly counterbalances the negative influence of time substitution between academically oriented tasks and the Internet.",present research analyses impact time spent internet primary school rd th grade students academic progression terms test scores order correlational analysis applied time fixedeffects estimation using recent longitudinal database students spanish region canary islands results general increasingly frequent use internet negative influence students academic achievement progression higher use instant messaging applications particularly linked girls poorer mathematics academic performance progression negative influence consequence replacing time academic activities reading books odds ratio homework time using internet ultimately lead students adopt unhealthy study habits affect future academic success furthermore negative impact playing videogames mathematics competence development spatialvisual digital skills possibly counterbalances negative influence time substitution academically oriented tasks internet
"Virtual reality experiences, embodiment, videogames and their dimensions in neurorehabilitation",https://link.springer.com/article/10.1186/s12984-018-0461-0,26 November 2018,Daniel Perez-Marcos,"In the context of stroke rehabilitation, new training approaches mediated by virtual reality and videogames are usually discussed and evaluated together in reviews and meta-analyses. This represents a serious confounding factor that is leading to misleading, inconclusive outcomes in the interest of validating these new solutions.",context stroke rehabilitation new training approaches mediated virtual reality videogames usually discussed evaluated reviews metaanalyses represents confounding factor leading misleading inconclusive outcomes validating new solutions
Advertising Games of Chance in Adolescents and Young Adults in Spain,https://link.springer.com/article/10.1007/s10899-020-09988-5,09 November 2020,"F. J. Labrador, M. Bernaldo-de-Quirós, I. Sánchez-Iglesias, M. Labrador, M. Vallejo-Achón, I. Fernández-Arias, F. J. Estupiñá","Gambling advertising can influence attitudes and gaming behavior of adolescents and young adults (A&Y). To study the effect of advertising on the attitudes and gaming behavior of a sample of 2887 Spanish A&Y (12–22 years old), by means of a self-report assessment. On average, participants show a weak effect of advertising, however there are great variations, estimating that 11% of A&Y acknowledge being influenced by advertising and 5% recognize being severely affected. Men see themselves more impacted than women, without age differences. Those who play videogames signal a stronger effect of this kind of advertising and although these differences are not substantial in effect size, they reach statistically significance in 12 of the 13 questions assessed. A&Y who showed higher scores indicating problematic use of videogames in the IDGS9-SF, are those who indicate a greater impact of advertising on their attitudes towards gaming, as well as on the way they play or on their intention to play. These results support the idea that videogames can, albeit modestly, predispose engagement in games of chance.",gambling advertising influence attitudes gaming behavior adolescents young adults ay study effect advertising attitudes gaming behavior sample spanish ay years old means selfreport assessment average participants weak effect advertising great variations estimating ay acknowledge influenced advertising recognize severely affected men impacted women age differences play videogames signal stronger effect kind advertising differences substantial effect size reach statistically significance questions assessed ay showed higher scores indicating problematic use videogames idgsscience fiction indicate greater impact advertising attitudes gaming way play odds ratio intention play results support idea videogames albeit modestly predispose engagement games chance
Analyzing autostereoscopic environment configurations for the design of videogames,https://link.springer.com/article/10.1007/s00530-019-00621-z,28 May 2019,"José Martínez Sotoca, Miguel Chover, Inmaculada Remolar, Ricardo Loreto","Stereoscopic devices are becoming more popular every day. The 3D visualization that these displays offer is being used by videogame designers to enhance the user’s game experience. Autostereoscopic monitors offer the possibility of obtaining this 3D visualization without the need for extra device. This fact makes them more attractive to videogame developers. However, the configuration of the cameras that make it possible to obtain an immersive 3D visualization inside the game is still an open problem. In this paper, some system configurations that create autostereoscopic visualization in a 3D game engine were evaluated to obtain a good accommodation of the user experience with the game. To achieve this, user tests that take into account the movement of the player were carried out to evaluate different camera configurations, namely, dynamic and static converging optical axis and parallel optical axis. The purpose of these tests is to evaluate the user experience regarding visual discomfort resulting from the movement of the objects, with the purpose of assessing the preference for one configuration or the other. The results show that the users tend to have a preference trend for the parallel optical axis configuration set. This configuration seems to be optimal because the area where the moving objects are focused is deeper than in the other configurations.",stereoscopic devices popular day d visualization displays offer used videogame designers enhance users game experience autostereoscopic monitors offer possibility obtaining d visualization need extra device fact makes attractive videogame developers configuration cameras make possible obtain immersive d visualization inside game open problem paper configurations create autostereoscopic visualization d game engine evaluated obtain good accommodation user experience game achieve user tests account movement player carried evaluate different camera configurations dynamic static converging optical axis parallel optical axis purpose tests evaluate user experience regarding visual discomfort resulting movement objects purpose assessing preference configuration odds ratio results users tend preference trend parallel optical axis configuration set configuration optimal area moving objects focused deeper configurations
"Adolescents’ videogame play, need satisfaction, and self-esteem: a self-determination perspective",https://link.springer.com/article/10.1007/s12144-024-05933-6,09 April 2024,"Edward John Noon, Luca Carbone, Brent Swinnen, Laura Vandenbosch","Initial evidence suggests that need-supportive videogame play can have positive short-term effects on adolescents’ need satisfaction, and may therefore help to promote positive well-being. However, less is currently known about the long-term interrelations between need-supportive videogame play, global need satisfaction, and adolescent well-being. Thus, guided by self-determination theory and broaden-and-build theory, this study explored the longitudinal reciprocal relationship between adolescents’ need-supportive gameplay and self-esteem, via global need satisfaction. The moderating effect of gender was also examined. Three-wave panel data were collected from 405 Belgian adolescents between September 2021 and September 2022 (M age = 15.13, SD = 1.52; Female = 64.20%), and data were analyzed using random intercept cross-lagged panel models. The valence, strength, and consistency of within-person cross-lagged associations differed across the basic psychological needs, and gender had no moderating effect on the hypothesized models. Results therefore suggest that the uniform positive effects of need-supportive gameplay on adolescent well-being tend to be short-lived, and that over time, videogame play tends to satisfy some basic psychological needs more than others. Findings add to the emerging literature regarding videogame play and positive adolescent well-being, and results emphasize the importance of investigating the long-term implications of adolescent videogame play.",initial evidence suggests needsupportive videogame play positive shortterm effects adolescents need satisfaction help promote positive wellbeing currently known longterm interrelations needsupportive videogame play global need satisfaction adolescent wellbeing guided selfdetermination theory broadenandbuild theory study explored longitudinal reciprocal relationship adolescents needsupportive gameplay selfesteem global need satisfaction moderating effect gender examined threewave panel data collected belgian adolescents september september m age standard deviation female data analyzed using random intercept crosslagged panel models valence strength consistency withinperson crosslagged associations differed basic psychological needs gender moderating effect hypothesized models results suggest uniform positive effects needsupportive gameplay adolescent wellbeing tend shortlived time videogame play tends satisfy basic psychological needs findings add emerging literature regarding videogame play positive adolescent wellbeing results emphasize importance investigating longterm implications adolescent videogame play
Systematic review and meta-analysis of standalone digital interventions for cognitive symptoms in people without dementia,https://link.springer.com/article/10.1038/s41746-024-01280-9,10 October 2024,"Veronica Cabreira, Tim Wilkinson, Lisbeth Frostholm, Jon Stone, Alan Carson","Cognitive symptoms are prevalent across neuropsychiatric disorders, increase distress and impair quality of life. Self-guided digital interventions offer accessibility, scalability, and may overcome the research-to-practice treatment gap. Seventy-six trials with 5214 participants were identified. A random-effects meta-analysis investigated the effects of all digital self-guided interventions, compared to controls, at post-treatment. We found a small-to-moderate positive pooled effect on cognition (k = 71; g = −0.51, 95%CI −0.64 to −0.37; p < 0.00001) and mental health (k = 30; g = −0.41, 95%CI −0.60 to −0.22; p < 0.0001). Positive treatment effects on fatigue (k = 8; g = −0.27, 95%CI −0.53 to −0.02; p = 0.03) and quality of life (k = 22; g = −0.17, 95%CI −0.34 to −0.00; p = 0.04) were only marginally significant. No significant benefit was found for performance on activities of daily living. Results were independent of control groups, treatment duration, risk of bias and delivery format. Self-guided digital transdiagnostic interventions may benefit at least a subset of patients in the short run, yet their impact on non-cognitive outcomes remains uncertain.",cognitive symptoms prevalent neuropsychiatric disorders increase distress impair quality life selfguided digital interventions offer accessibility scalability overcome researchtopractice treatment gap seventysix trials participants identified randomeffects metaanalysis investigated effects digital selfguided interventions compared controls posttreatment smalltomoderate positive pooled effect cognition k g confidence interval p mental health k g confidence interval p positive treatment effects fatigue k g confidence interval p quality life k g confidence interval p marginally significant significant benefit performance activities daily living results independent control groups treatment duration risk bias delivery format selfguided digital transdiagnostic interventions benefit subset patients short run impact noncognitive outcomes remains uncertain
Understanding Esports-related Betting and Gambling: A Systematic Review of the Literature,https://link.springer.com/article/10.1007/s10899-023-10256-5,22 September 2023,"Harshdeep S. Mangat, Mark D Griffiths, Shu M. Yu, Katalin Felvinczi, Ronald K. Ngetich, Zsolt Demetrovics, Andrea Czakó","Esports gambling has steadily grown in popularity alongside esports itself. While research has been increasing in the field of esports-related gambling, no study has yet reviewed the relevant literature on esports gambling. The present study aimed to comprehensively review all empirical research conducted in the wider field of esports gambling. A systematic review following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines was undertaken using PsycINFO, PubMed, Scopus, and Web of Science databases. Only empirical studies were included and were also assessed for potential biases using the ROBUST guidelines. A total of 30 studies from eight countries were included in the review. Esports gamblers were found more likely to be young males, likely to score high on problematic gambling scales, and likely to belong to households speaking a non-English language at home in English speaking countries. Esports gamblers are a unique type of gambling population, with rare characteristics and behaviors compared to other types of gamblers. Given the limited number of studies, there is a need for further research in this field to understand these populations, as well as the need for longitudinal research.",esports gambling steadily grown popularity alongside esports research increasing field esportsrelated gambling study reviewed relevant literature esports gambling present study aimed comprehensively review empirical research conducted wider field esports gambling systematic review following preferred reporting items systematic reviews metaanalyses preferred reporting items systematic reviews metaanalyses guidelines undertaken using psycinfo pubmed scopus web science databases empirical studies included assessed potential biases using reliable objectively measured guidelines total studies countries included review esports gamblers likely young males likely score high problematic gambling scales likely belong households speaking nonenglish language home english speaking countries esports gamblers unique type gambling population rare characteristics behaviors compared types gamblers given limited number studies need research field understand populations need longitudinal research
"Video Games, Violence Justification and Child-to-Parent Violence",https://link.springer.com/article/10.1007/s10826-024-02864-5,05 September 2024,"Miriam Junco-Guerrero, Ana Ruiz-Fernández, David Cantón-Cortés","During the past decade, video games have become the main industrial entertainment sector, although research on the effects of violence in video games on juvenile aggressiveness has raised concerns that they may pose a significant social risk. The objective of this study was to analyze the relationship of exposure to violent video games, pathological video-gaming, and justification of violence with the perpetration of Child-to-Parent Violence (CPV) against the mother and the father, controlling for the sex, educational level, and violent TV exposure of the participant. The sample consisted of 439 students from Compulsory Secondary Education, (238 boys and 201 girls), aged between 13 and 18. Exposure to video games was assessed through an author-elaborated questionnaire, violence justification, and pathological video-gaming were evaluated with the Exposure to Violence Questionnaire and the Assessment of Pathological Computer-Gaming, respectively, and CPV was assessed through the Child-to-Parent Aggression Questionnaire. Hierarchical multiple regression analyses showed that pathological video-gaming and, specially, justification of violence, were related to the perpetration of CPV against both mothers and fathers. However, a relationship of exposure to violent video games and violence on TV with the perpetration of CPV was not found. These results suggest a potential new target for CPV prevention, as well as for the treatment of juvenile offenders.",past decade video games main industrial entertainment sector research effects violence video games juvenile aggressiveness raised concerns pose significant social risk objective study analyze relationship exposure violent video games pathological videogaming justification violence perpetration childtoparent violence child physical violence mother father controlling sex educational level violent television exposure participant sample consisted students compulsory secondary education boys girls aged exposure video games assessed authorelaborated questionnaire violence justification pathological videogaming evaluated exposure violence questionnaire assessment pathological computergaming respectively child physical violence assessed childtoparent aggression questionnaire hierarchical multiple regression analyses showed pathological videogaming specially justification violence related perpetration child physical violence mothers fathers relationship exposure violent video games violence television perpetration child physical violence results suggest potential new target child physical violence prevention treatment juvenile offenders
